sensor_id,room_number,room_type,type,attached_to,apartment,cluster_name,sensor_iri,measurement_point_iri,room_iri,asset_iri,water_kind_iri
S0131,R034,Living room,cold water consumption,Toilet,APT_004,CL_D,https://w3id.org/eautonome/hsbSensorS0131,https://w3id.org/eautonome/hsbMeasurementPointS0131,https://w3id.org/eautonome/hsbRoomR034,https://w3id.org/eautonome/hsbAssetS0131,https://w3id.org/eautonome/hsbColdWater
S0132,R033,Living room,cold water consumption,Toilet,APT_024,CL_D,https://w3id.org/eautonome/hsbSensorS0132,https://w3id.org/eautonome/hsbMeasurementPointS0132,https://w3id.org/eautonome/hsbRoomR033,https://w3id.org/eautonome/hsbAssetS0132,https://w3id.org/eautonome/hsbColdWater
S0133,R036,Living room,cold water consumption,Kitchen tap,APT_025,CL_D,https://w3id.org/eautonome/hsbSensorS0133,https://w3id.org/eautonome/hsbMeasurementPointS0133,https://w3id.org/eautonome/hsbRoomR036,https://w3id.org/eautonome/hsbAssetS0133,https://w3id.org/eautonome/hsbColdWater
S0134,R036,Living room,cold water consumption,Kitchen tap,APT_025,CL_D,https://w3id.org/eautonome/hsbSensorS0134,https://w3id.org/eautonome/hsbMeasurementPointS0134,https://w3id.org/eautonome/hsbRoomR036,https://w3id.org/eautonome/hsbAssetS0134,https://w3id.org/eautonome/hsbColdWater
S0135,R040,Shared bathroom,hot water consumption,Washbasin,,CL_D,https://w3id.org/eautonome/hsbSensorS0135,https://w3id.org/eautonome/hsbMeasurementPointS0135,https://w3id.org/eautonome/hsbRoomR040,https://w3id.org/eautonome/hsbAssetS0135,https://w3id.org/eautonome/hsbHotWater
S0136,R039,Shared bathroom,hot water consumption,Washbasin,,CL_D,https://w3id.org/eautonome/hsbSensorS0136,https://w3id.org/eautonome/hsbMeasurementPointS0136,https://w3id.org/eautonome/hsbRoomR039,https://w3id.org/eautonome/hsbAssetS0136,https://w3id.org/eautonome/hsbHotWater
S0137,R039,Shared bathroom,cold water consumption,Washbasin,,CL_D,https://w3id.org/eautonome/hsbSensorS0137,https://w3id.org/eautonome/hsbMeasurementPointS0137,https://w3id.org/eautonome/hsbRoomR039,https://w3id.org/eautonome/hsbAssetS0137,https://w3id.org/eautonome/hsbColdWater
S0138,R032,Shared space,hot water consumption,Kitchen tap,,CL_D,https://w3id.org/eautonome/hsbSensorS0138,https://w3id.org/eautonome/hsbMeasurementPointS0138,https://w3id.org/eautonome/hsbRoomR032,https://w3id.org/eautonome/hsbAssetS0138,https://w3id.org/eautonome/hsbHotWater
S0139,R032,Shared space,cold water consumption,Kitchen tap,,CL_D,https://w3id.org/eautonome/hsbSensorS0139,https://w3id.org/eautonome/hsbMeasurementPointS0139,https://w3id.org/eautonome/hsbRoomR032,https://w3id.org/eautonome/hsbAssetS0139,https://w3id.org/eautonome/hsbColdWater
S0140,R036,Living room,cold water consumption,Washbasin,APT_025,CL_D,https://w3id.org/eautonome/hsbSensorS0140,https://w3id.org/eautonome/hsbMeasurementPointS0140,https://w3id.org/eautonome/hsbRoomR036,https://w3id.org/eautonome/hsbAssetS0140,https://w3id.org/eautonome/hsbColdWater
S0141,R036,Living room,cold water consumption,Washbasin,APT_025,CL_D,https://w3id.org/eautonome/hsbSensorS0141,https://w3id.org/eautonome/hsbMeasurementPointS0141,https://w3id.org/eautonome/hsbRoomR036,https://w3id.org/eautonome/hsbAssetS0141,https://w3id.org/eautonome/hsbColdWater
